,code,name,prompt
0,6A00.0,"Disorder of intellectual development, mild","Disorder Name: Disorder of intellectual development, mild
Disorder Code: 6A00.0
Disorder symptoms: A mild disorder of intellectual development is a condition originating during the developmental period characterised by significantly below average intellectual functioning and adaptive behaviour that are approximately two to three standard deviations below the mean (approximately 0.1 – 2.3 percentile), based on appropriately normed, individually administered standardized tests or by comparable behavioural indicators when standardized testing is unavailable. Affected persons often exhibit difficulties in the acquisition and comprehension of complex language concepts and academic skills. Most master basic self-care, domestic, and practical activities. Persons affected by a mild disorder of intellectual development can generally achieve relatively independent living and employment as adults but may require appropriate support.
"
1,6A00.1,"Disorder of intellectual development, moderate","Disorder Name: Disorder of intellectual development, moderate
Disorder Code: 6A00.1
Disorder symptoms: A moderate disorder of intellectual development is a condition originating during the developmental period characterised by significantly below average intellectual functioning and adaptive behaviour that are approximately three to four standard deviations below the mean (approximately 0.003 – 0.1 percentile), based on appropriately normed, individually administered standardized tests or by comparable behavioural indicators when standardized testing is unavailable. Language and capacity for acquisition of academic skills of persons affected by a moderate disorder of intellectual development vary but are generally limited to basic skills. Some may master basic self-care, domestic, and practical activities. Most affected persons require considerable and consistent support in order to achieve independent living and employment as adults.
"
2,6A00.2,"Disorder of intellectual development, severe","Disorder Name: Disorder of intellectual development, severe
Disorder Code: 6A00.2
Disorder symptoms: A severe disorder of intellectual development is a condition originating during the developmental period characterised by significantly below average intellectual functioning and adaptive behaviour that are approximately four or more standard deviations below the mean (less than approximately the 0.003rd percentile), based on appropriately normed, individually administered standardized tests or by comparable behavioural indicators when standardized testing is unavailable. Affected persons exhibit very limited language and capacity for acquisition of academic skills. They may also have motor impairments and typically require daily support in a supervised environment for adequate care, but may acquire basic self-care skills with intensive training. Severe and profound disorders of intellectual development are differentiated exclusively on the basis of adaptive behaviour differences because existing standardized tests of intelligence cannot reliably or validly distinguish among individuals with intellectual functioning below the 0.003rd percentile.
"
3,6A00.3,"Disorder of intellectual development, profound","Disorder Name: Disorder of intellectual development, profound
Disorder Code: 6A00.3
Disorder symptoms: A profound disorder of intellectual development is a condition originating during the developmental period characterised by significantly below average intellectual functioning and adaptive behaviour that are approximately four or more standard deviations below the mean (approximately less than the 0.003rd percentile), based on individually administered appropriately normed, standardized tests or by comparable behavioural indicators when standardized testing is unavailable. Affected persons possess very limited communication abilities and capacity for acquisition of academic skills is restricted to basic concrete skills. They may also have co-occurring motor and sensory impairments and typically require daily support in a supervised environment for adequate care. Severe and profound disorders of intellectual development are differentiated exclusively on the basis of adaptive behaviour differences because existing standardized tests of intelligence cannot reliably or validly distinguish among individuals with intellectual functioning below the 0.003rd percentile.
"
4,6A00.4,"Disorder of intellectual development, provisional","Disorder Name: Disorder of intellectual development, provisional
Disorder Code: 6A00.4
Disorder symptoms: Disorder of intellectual development, provisional is assigned when there is evidence of a disorder of intellectual development but the individual is an infant or child under the age of four or it is not possible to conduct a valid assessment of intellectual functioning and adaptive behaviour because of sensory or physical impairments (e.g., blindness, pre-lingual deafness), motor or communication impairments, severe problem behaviours or co-occurring mental and behavioural disorders.
"
5,6A00.Z,"Disorders of intellectual development, unspecified",
6,6A01.0,Developmental speech sound disorder,"Disorder Name: Developmental speech sound disorder
Disorder Code: 6A01.0
Disorder symptoms: Developmental speech sound disorder is characterised by difficulties in the acquisition, production and perception of speech that result in errors of pronunciation, either in number or types of speech errors made or the overall quality of speech production, that are outside the limits of normal variation expected for age and level of intellectual functioning and result in reduced intelligibility and significantly affect communication. The errors in pronunciation arise during the early developmental period and cannot be explained by social, cultural, and other environmental variations (e.g., regional dialects). The speech errors are not fully explained by a hearing impairment or a structural or neurological abnormality.
If you have Functional speech articulation disorder other inclusions could be: Functional speech articulation disorder
If you diagnose this disease exclude: Deafness not otherwise specified; Diseases of the nervous system; Dysarthria; Verbal apraxia"
7,6A01.1,Developmental speech fluency disorder,"Disorder Name: Developmental speech fluency disorder
Disorder Code: 6A01.1
Disorder symptoms: Developmental speech fluency disorder is characterised by frequent or pervasive disruption of the normal rhythmic flow and rate of speech characterised by repetitions and prolongations in sounds, syllables, words, and phrases, as well as blocking and word avoidance or substitutions. The speech dysfluency is persistent over time. The onset of speech dysfluency occurs during the developmental period and speech fluency is markedly below what would be expected for age. Speech dysfluency results in significant impairment in social communication, personal, family, social, educational, occupational or other important areas of functioning. The speech dysfluency is not better accounted for by a Disorder of Intellectual Development, a Disease of the Nervous System, a sensory impairment, or a structural abnormality, or other speech or voice disorder.
If you diagnose this disease exclude: Tic disorders"
8,6A01.20,Developmental language disorder with impairment of receptive and expressive language,"Disorder Name: Developmental language disorder with impairment of receptive and expressive language
Disorder Code: 6A01.20
Disorder symptoms: Developmental language disorder with impairment of receptive and expressive language is characterised by persistent difficulties in the acquisition, understanding, production, and use of language that arise during the developmental period, typically during early childhood, and cause significant limitations in the individual’s ability to communicate. The ability to understand spoken or signed language (i.e., receptive language) is markedly below the expected level given the individual’s age and level of intellectual functioning, and is accompanied by persistent impairment in the ability to produce and use spoken or signed language (i.e., expressive language).
If you have developmental dysphasia or aphasia, receptive type other inclusions could be: developmental dysphasia or aphasia, receptive type
If you diagnose this disease exclude: acquired aphasia with epilepsy [Landau-Kleffner]; Autism spectrum disorder; Selective mutism; dysphasia NOS; Diseases of the nervous system; Deafness not otherwise specified"
9,6A01.21,Developmental language disorder with impairment of mainly expressive language,"Disorder Name: Developmental language disorder with impairment of mainly expressive language
Disorder Code: 6A01.21
Disorder symptoms: Developmental language disorder with impairment of mainly expressive language is characterised by persistent difficulties in the acquisition, production, and use of language that arise during the developmental period, typically during early childhood, and cause significant limitations in the individual’s ability to communicate. The ability to produce and use spoken or signed language (i.e., expressive language) is markedly below the expected level given the individual’s age and level of intellectual functioning, but the ability to understand spoken or signed language (i.e., receptive language) is relatively intact.
If you have Developmental dysphasia or aphasia, expressive type other inclusions could be: Developmental dysphasia or aphasia, expressive type
If you diagnose this disease exclude: acquired aphasia with epilepsy [Landau-Kleffner]; Selective mutism; dysphasia and aphasia: developmental, receptive type; dysphasia NOS; aphasia NOS; Diseases of the nervous system; Deafness not otherwise specified"
