,code,title,definition,inclusions,exclusions,content,name,prompt
0,6A00.0,"Disorder of intellectual development, mild","A mild disorder of intellectual development is a condition originating during the developmental period characterised by significantly below average intellectual functioning and adaptive behaviour that are approximately two to three standard deviations below the mean (approximately 0.1 – 2.3 percentile), based on appropriately normed, individually administered standardized tests or by comparable behavioural indicators when standardized testing is unavailable. Affected persons often exhibit difficulties in the acquisition and comprehension of complex language concepts and academic skills. Most master basic self-care, domestic, and practical activities. Persons affected by a mild disorder of intellectual development can generally achieve relatively independent living and employment as adults but may require appropriate support.",,,"Disorder of intellectual development, mild• In mild disorder of intellectual development, intellectual functioning and adaptive behaviourare found to be approximately 2–3 standard deviations below the mean (approximately0.1–2.3 percentile), based on appropriately normed, individually administered standardizedtests. Where standardized tests are not available, assessment of intellectual functioning andadaptive behaviour requires greater reliance on clinical judgement, which may includethe use of behavioural indicators provided in Tables 6.1–6.4. People with mild disorder ofintellectual development often exhibit difficulties in the acquisition and comprehension ofcomplex language concepts and academic skills. Most master basic self-care, domestic andpractical activities. Affected people can generally achieve relatively independent living andemployment as adults, but may require appropriate support.Neurodevelopmental disorders | Disorders of intellectual development 94 Clinical Descriptions and Diagnostic Requirements for ICD-11 Mental, Behavioural or Neurodevelopmental Disorders","Disorder of intellectual development, mild","Disorder Name: Disorder of intellectual development, mildDisorder Code: 6A00.0Disorder symptoms: A mild disorder of intellectual development is a condition originating during the developmental period characterised by significantly below average intellectual functioning and adaptive behaviour that are approximately two to three standard deviations below the mean (approximately 0.1 – 2.3 percentile), based on appropriately normed, individually administered standardized tests or by comparable behavioural indicators when standardized testing is unavailable. Affected persons often exhibit difficulties in the acquisition and comprehension of complex language concepts and academic skills. Most master basic self-care, domestic, and practical activities. Persons affected by a mild disorder of intellectual development can generally achieve relatively independent living and employment as adults but may require appropriate support.Disorder of intellectual development, mild• In mild disorder of intellectual development, intellectual functioning and adaptive behaviourare found to be approximately 2–3 standard deviations below the mean (approximately0.1–2.3 percentile), based on appropriately normed, individually administered standardizedtests. Where standardized tests are not available, assessment of intellectual functioning andadaptive behaviour requires greater reliance on clinical judgement, which may includethe use of behavioural indicators provided in Tables 6.1–6.4. People with mild disorder ofintellectual development often exhibit difficulties in the acquisition and comprehension ofcomplex language concepts and academic skills. Most master basic self-care, domestic andpractical activities. Affected people can generally achieve relatively independent living andemployment as adults, but may require appropriate support.Neurodevelopmental disorders | Disorders of intellectual development 94 Clinical Descriptions and Diagnostic Requirements for ICD-11 Mental, Behavioural or Neurodevelopmental Disorders"
1,6A00.1,"Disorder of intellectual development, moderate","A moderate disorder of intellectual development is a condition originating during the developmental period characterised by significantly below average intellectual functioning and adaptive behaviour that are approximately three to four standard deviations below the mean (approximately 0.003 – 0.1 percentile), based on appropriately normed, individually administered standardized tests or by comparable behavioural indicators when standardized testing is unavailable. Language and capacity for acquisition of academic skills of persons affected by a moderate disorder of intellectual development vary but are generally limited to basic skills. Some may master basic self-care, domestic, and practical activities. Most affected persons require considerable and consistent support in order to achieve independent living and employment as adults.",,,"Disorder of intellectual development, moderate• In moderate disorder of intellectual development, intellectual functioning and adaptivebehaviour are found to be approximately 3–4 standard deviations below the mean(approximately 0.003–0.1 percentile), based on appropriately normed, individuallyadministered standardized tests. Where standardized tests are not available, assessmentof intellectual functioning and adaptive behaviour requires greater reliance on clinicaljudgement, which may include the use of behavioural indicators provided in Tables6.1–6.4. Language and capacity for acquisition of academic skills of people affected bymoderate disorder of intellectual development vary but are generally limited to basic skills.Some may master basic self-care, domestic and practical activities. Most affected peoplerequire considerable and consistent support in order to achieve independent living andemployment as adults.","Disorder of intellectual development, moderate","Disorder Name: Disorder of intellectual development, moderateDisorder Code: 6A00.1Disorder symptoms: A moderate disorder of intellectual development is a condition originating during the developmental period characterised by significantly below average intellectual functioning and adaptive behaviour that are approximately three to four standard deviations below the mean (approximately 0.003 – 0.1 percentile), based on appropriately normed, individually administered standardized tests or by comparable behavioural indicators when standardized testing is unavailable. Language and capacity for acquisition of academic skills of persons affected by a moderate disorder of intellectual development vary but are generally limited to basic skills. Some may master basic self-care, domestic, and practical activities. Most affected persons require considerable and consistent support in order to achieve independent living and employment as adults.Disorder of intellectual development, moderate• In moderate disorder of intellectual development, intellectual functioning and adaptivebehaviour are found to be approximately 3–4 standard deviations below the mean(approximately 0.003–0.1 percentile), based on appropriately normed, individuallyadministered standardized tests. Where standardized tests are not available, assessmentof intellectual functioning and adaptive behaviour requires greater reliance on clinicaljudgement, which may include the use of behavioural indicators provided in Tables6.1–6.4. Language and capacity for acquisition of academic skills of people affected bymoderate disorder of intellectual development vary but are generally limited to basic skills.Some may master basic self-care, domestic and practical activities. Most affected peoplerequire considerable and consistent support in order to achieve independent living andemployment as adults."
2,6A00.2,"Disorder of intellectual development, severe","A severe disorder of intellectual development is a condition originating during the developmental period characterised by significantly below average intellectual functioning and adaptive behaviour that are approximately four or more standard deviations below the mean (less than approximately the 0.003rd percentile), based on appropriately normed, individually administered standardized tests or by comparable behavioural indicators when standardized testing is unavailable. Affected persons exhibit very limited language and capacity for acquisition of academic skills. They may also have motor impairments and typically require daily support in a supervised environment for adequate care, but may acquire basic self-care skills with intensive training. Severe and profound disorders of intellectual development are differentiated exclusively on the basis of adaptive behaviour differences because existing standardized tests of intelligence cannot reliably or validly distinguish among individuals with intellectual functioning below the 0.003rd percentile.",,,"Disorder of intellectual development, severe• In severe disorder of intellectual development, intellectual functioning and adaptivebehaviour are found to be approximately 4 or more standard deviations below themean (less than approximately the 0.003rd percentile), based on appropriately normed,individually administered standardized tests. Where standardized tests are not available,assessment of intellectual functioning and adaptive behaviour requires greater relianceon clinical judgement, which may include the use of behavioural indicators providedin Tables 6.1–6.4. People affected by severe disorder of intellectual development exhibitvery limited language and capacity for acquisition of academic skills. They may also havemotor impairments and typically require daily support in a supervised environment foradequate care, but may acquire basic self-care skills with intensive training. Severe andprofound disorders of intellectual development are differentiated exclusively on the basisof adaptive behaviour differences because existing standardized tests of intelligence cannotreliably or validly distinguish among individuals with intellectual functioning below the0.003rd percentile.","Disorder of intellectual development, severe","Disorder Name: Disorder of intellectual development, severeDisorder Code: 6A00.2Disorder symptoms: A severe disorder of intellectual development is a condition originating during the developmental period characterised by significantly below average intellectual functioning and adaptive behaviour that are approximately four or more standard deviations below the mean (less than approximately the 0.003rd percentile), based on appropriately normed, individually administered standardized tests or by comparable behavioural indicators when standardized testing is unavailable. Affected persons exhibit very limited language and capacity for acquisition of academic skills. They may also have motor impairments and typically require daily support in a supervised environment for adequate care, but may acquire basic self-care skills with intensive training. Severe and profound disorders of intellectual development are differentiated exclusively on the basis of adaptive behaviour differences because existing standardized tests of intelligence cannot reliably or validly distinguish among individuals with intellectual functioning below the 0.003rd percentile.Disorder of intellectual development, severe• In severe disorder of intellectual development, intellectual functioning and adaptivebehaviour are found to be approximately 4 or more standard deviations below themean (less than approximately the 0.003rd percentile), based on appropriately normed,individually administered standardized tests. Where standardized tests are not available,assessment of intellectual functioning and adaptive behaviour requires greater relianceon clinical judgement, which may include the use of behavioural indicators providedin Tables 6.1–6.4. People affected by severe disorder of intellectual development exhibitvery limited language and capacity for acquisition of academic skills. They may also havemotor impairments and typically require daily support in a supervised environment foradequate care, but may acquire basic self-care skills with intensive training. Severe andprofound disorders of intellectual development are differentiated exclusively on the basisof adaptive behaviour differences because existing standardized tests of intelligence cannotreliably or validly distinguish among individuals with intellectual functioning below the0.003rd percentile."
3,6A00.3,"Disorder of intellectual development, profound","A profound disorder of intellectual development is a condition originating during the developmental period characterised by significantly below average intellectual functioning and adaptive behaviour that are approximately four or more standard deviations below the mean (approximately less than the 0.003rd percentile), based on individually administered appropriately normed, standardized tests or by comparable behavioural indicators when standardized testing is unavailable. Affected persons possess very limited communication abilities and capacity for acquisition of academic skills is restricted to basic concrete skills. They may also have co-occurring motor and sensory impairments and typically require daily support in a supervised environment for adequate care. Severe and profound disorders of intellectual development are differentiated exclusively on the basis of adaptive behaviour differences because existing standardized tests of intelligence cannot reliably or validly distinguish among individuals with intellectual functioning below the 0.003rd percentile.",,,"Disorder of intellectual development, profound• In profound disorder of intellectual development, intellectual functioning and adaptivebehaviour are found to be approximately 4 or more standard deviations below the mean(approximately less than the 0.003rd percentile), based on individually administeredappropriately normed, standardized tests. Where standardized tests are not available,assessment of intellectual functioning and adaptive behaviour requires greater reliance onclinical judgement, which may include the use of behavioural indicators provided in Tables6.1–6.4. People affected by profound disorder of intellectual development possess verylimited communication abilities and capacity for acquisition of academic skills is restrictedto basic concrete skills. They may also have co-occurring motor and sensory impairmentsand typically require daily support in a supervised environment for adequate care. Severeand profound disorders of intellectual development are differentiated exclusively on thebasis of adaptive behaviour differences because existing standardized tests of intelligencecannot reliably or validly distinguish among individuals with intellectual functioningbelow the 0.003rd percentile.Neurodevelopmental disorders | Disorders of intellectual development Neurodevelopmental disorders 95","Disorder of intellectual development, profound","Disorder Name: Disorder of intellectual development, profoundDisorder Code: 6A00.3Disorder symptoms: A profound disorder of intellectual development is a condition originating during the developmental period characterised by significantly below average intellectual functioning and adaptive behaviour that are approximately four or more standard deviations below the mean (approximately less than the 0.003rd percentile), based on individually administered appropriately normed, standardized tests or by comparable behavioural indicators when standardized testing is unavailable. Affected persons possess very limited communication abilities and capacity for acquisition of academic skills is restricted to basic concrete skills. They may also have co-occurring motor and sensory impairments and typically require daily support in a supervised environment for adequate care. Severe and profound disorders of intellectual development are differentiated exclusively on the basis of adaptive behaviour differences because existing standardized tests of intelligence cannot reliably or validly distinguish among individuals with intellectual functioning below the 0.003rd percentile.Disorder of intellectual development, profound• In profound disorder of intellectual development, intellectual functioning and adaptivebehaviour are found to be approximately 4 or more standard deviations below the mean(approximately less than the 0.003rd percentile), based on individually administeredappropriately normed, standardized tests. Where standardized tests are not available,assessment of intellectual functioning and adaptive behaviour requires greater reliance onclinical judgement, which may include the use of behavioural indicators provided in Tables6.1–6.4. People affected by profound disorder of intellectual development possess verylimited communication abilities and capacity for acquisition of academic skills is restrictedto basic concrete skills. They may also have co-occurring motor and sensory impairmentsand typically require daily support in a supervised environment for adequate care. Severeand profound disorders of intellectual development are differentiated exclusively on thebasis of adaptive behaviour differences because existing standardized tests of intelligencecannot reliably or validly distinguish among individuals with intellectual functioningbelow the 0.003rd percentile.Neurodevelopmental disorders | Disorders of intellectual development Neurodevelopmental disorders 95"
4,6A00.4,"Disorder of intellectual development, provisional","Disorder of intellectual development, provisional is assigned when there is evidence of a disorder of intellectual development but the individual is an infant or child under the age of four or it is not possible to conduct a valid assessment of intellectual functioning and adaptive behaviour because of sensory or physical impairments (e.g., blindness, pre-lingual deafness), motor or communication impairments, severe problem behaviours or co-occurring mental and behavioural disorders.",,,"Disorder of intellectual development, provisional• Provisional disorder of intellectual development is assigned when there is evidence of adisorder of intellectual development but the individual is an infant or child under the ageof 4 years, making it difficult to ascertain whether the observed impairments representa transient delay. Provisional disorder of intellectual development in this context issometimes referred to as global developmental delay. The diagnosis can also be assignedin individuals 4 years of age or older when evidence is suggestive of a disorder of intellectualdevelopment but it is not possible to conduct a valid assessment of intellectual functioningand adaptive behaviour because of sensory or physical impairments (e.g. blindness, pre-lingual deafness), motor or communication impairments, severe problem behaviours, orsymptoms of another mental, behavioural or neurodevelopmental disorder that interferewith assessment.","Disorder of intellectual development, provisional","Disorder Name: Disorder of intellectual development, provisionalDisorder Code: 6A00.4Disorder symptoms: Disorder of intellectual development, provisional is assigned when there is evidence of a disorder of intellectual development but the individual is an infant or child under the age of four or it is not possible to conduct a valid assessment of intellectual functioning and adaptive behaviour because of sensory or physical impairments (e.g., blindness, pre-lingual deafness), motor or communication impairments, severe problem behaviours or co-occurring mental and behavioural disorders.Disorder of intellectual development, provisional• Provisional disorder of intellectual development is assigned when there is evidence of adisorder of intellectual development but the individual is an infant or child under the ageof 4 years, making it difficult to ascertain whether the observed impairments representa transient delay. Provisional disorder of intellectual development in this context issometimes referred to as global developmental delay. The diagnosis can also be assignedin individuals 4 years of age or older when evidence is suggestive of a disorder of intellectualdevelopment but it is not possible to conduct a valid assessment of intellectual functioningand adaptive behaviour because of sensory or physical impairments (e.g. blindness, pre-lingual deafness), motor or communication impairments, severe problem behaviours, orsymptoms of another mental, behavioural or neurodevelopmental disorder that interferewith assessment."
